historical_finding_id,source_file,inspection_type,site_name,site_address,equipment_class,inspection_date,section,severity_category,finding_number,area,finding_text,finding_text_clean,correction,reference_raw,reference_type,reference_normalized,standard_code,clause_number,law_code,law_section,retrieval_text
HF-00001,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,1,Pääkeskus PK,Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet. [SFS-6000.433],Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet.,,SFS-6000.433,standard_clause,SFS 6000 kohta 433,SFS 6000,433,,,määräaikainen | Embassy of Spain | Pääkeskus PK | Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet. | SFS 6000 kohta 433 | kat_2_turvallisuutta_vahentava
HF-00002,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,2,Pääkeskus PK,"Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa. [SFS- käsikirja 640]","Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa.",,SFS- käsikirja 640,standard_document,SFS-käsikirja 640,SFS-käsikirja 640,,,,"määräaikainen | Embassy of Spain | Pääkeskus PK | Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa. | SFS-käsikirja 640 | kat_2_turvallisuutta_vahentava"
HF-00003,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,3,Despacho Archivo,Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa. [SFS-6000 Liite 41A],Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa.,,SFS-6000 Liite 41A,standard_clause,SFS 6000 kohta Liite 41A,SFS 6000,Liite 41A,,,määräaikainen | Embassy of Spain | Despacho Archivo | Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa. | SFS 6000 kohta Liite 41A | kat_2_turvallisuutta_vahentava
HF-00004,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,3,Ulkoalue,Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut. [SFS-6000.412.2.2],Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut.,,SFS-6000.412.2.2,standard_clause,SFS 6000 kohta 412.2.2,SFS 6000,412.2.2,,,määräaikainen | Embassy of Spain | Ulkoalue | Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut. | SFS 6000 kohta 412.2.2 | kat_2_turvallisuutta_vahentava
HF-00005,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,1,"Pääkeskushuone PK. Suunnitelman mukaan lähtö 3x25 A. Maakaapelivaurion takia lähtö muutettu 1x50 A. Suositellaan maakaapelin korjaamista tai uusimista ja lähdön palauttamista takaisin suunnitelman mukaiseksi. Mikäli korjaustoimenpiteitä ei tehdä, tulee keskuksen ja suunnitelmien merkinnät päivittää vastaamaan nykyistä tilannetta.",,,,,,,,,,,"määräaikainen | Embassy of Spain | Pääkeskushuone PK. Suunnitelman mukaan lähtö 3x25 A. Maakaapelivaurion takia lähtö muutettu 1x50 A. Suositellaan maakaapelin korjaamista tai uusimista ja lähdön palauttamista takaisin suunnitelman mukaiseksi. Mikäli korjaustoimenpiteitä ei tehdä, tulee keskuksen ja suunnitelmien merkinnät päivittää vastaamaan nykyistä tilannetta. |  |  | suositus"
HF-00006,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,2,"Siivoushuoneessa ja autotallissa E27 kantaisia valaisimia, joiden kupu puuttuu.",,,,,,,,,,,"määräaikainen | Embassy of Spain | Siivoushuoneessa ja autotallissa E27 kantaisia valaisimia, joiden kupu puuttuu. |  |  | suositus"
HF-00007,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,3,Määräaikaistarkastusta ei ole tehty määräaikaan mennessä. Tulee tehdä seuraavan kerran 10-vuoden kuluttua.,,,,,,,,,,,määräaikainen | Embassy of Spain | Määräaikaistarkastusta ei ole tehty määräaikaan mennessä. Tulee tehdä seuraavan kerran 10-vuoden kuluttua. |  |  | suositus
HF-00008,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,6. Vakavat puutteet ja viat (kat. 1),kat_1_vakava,1,Huolto- ja kunnossapito-ohjelma,"Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja. [Sähköturvallisuuslaki 1135/2016; 48 §]","Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja.",,Sähköturvallisuuslaki 1135/2016; 48 §,law_section,Sähköturvallisuuslaki 1135/2016 48§,,,Sähköturvallisuuslaki 1135/2016,48§,"uusinta | Finavia Oyj | Huolto- ja kunnossapito-ohjelma | Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja. | Sähköturvallisuuslaki 1135/2016 48§ | kat_1_vakava"
HF-00009,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,1,RSA,"Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa [VNa 576/2003; 8 §]","Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa",OK/RL,VNa 576/2003; 8 §,law_section,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8§,,,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003,8§,"uusinta | Finavia Oyj | RSA | Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa | Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8§ | kat_2_turvallisuutta_vahentava"
HF-00010,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,2,RSA,Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein [SFS-EN 60079-17 kohta 4.4].,Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein .,OK/RL,SFS-EN 60079-17 kohta 4.4,standard_clause,SFS-EN 60079-17 kohta 4.4,SFS-EN 60079-17,4.4,,,uusinta | Finavia Oyj | RSA | Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein . | SFS-EN 60079-17 kohta 4.4 | kat_2_turvallisuutta_vahentava
